titulo,coordenador,categoria,situacao,ano,data_de_inicio,data_de_termino,unidade
Projeto Virada Ambiental,VICENTE DA ROCHA SOARES FERREIRA,PROJETO,EM EXECUÇÃO,2025,2020-12-31,2025-03-10,ESCOLA DE ENGENHARIA CIVIL E AMBIENTAL
"Jornalismo de dados, checagem de fatos e combate à desinformação - Observatório Jornalístico Universitário (OJU)",AUGUSTO CESAR CANDIDO DE OLIVEIRA,PROJETO,EM EXECUÇÃO,2025,2024-09-25,2026-07-31,FACULDADE DE INFORMAÇÃO E COMUNICAÇÃO
Olimpíada de Matemática do Estado de Goiás - Edições XXXIV e XXXV,GREGORY DURAN CUNHA,PROJETO,EM EXECUÇÃO,2025,2025-01-10,2026-01-31,INSTITUTO DE MATEMÁTICA E ESTATÍSTICA
Olimpíada de Matemática do Estado de Goiás - Edições XXXIV e XXXV,LIDIANE DOS SANTOS MONTEIRO LIMA,PROJETO,EM EXECUÇÃO,2025,2025-01-10,2026-01-31,INSTITUTO DE MATEMÁTICA E ESTATÍSTICA
Olimpíada de Matemática do Estado de Goiás - Edições XXXIV e XXXV,ROSANE GOMES PEREIRA,PROJETO,EM EXECUÇÃO,2025,2025-01-10,2026-01-31,INSTITUTO DE MATEMÁTICA E ESTATÍSTICA
Goiás: Cidade Estelar,ELISA CAROLINA ARIZONO,PROJETO,EM EXECUÇÃO,2025,2025-02-07,2026-12-31,INSTITUTO DE ESTUDOS SÓCIO-AMBIENTAIS
Goiás: Cidade Estelar,GUSTAVO RAMOS JORDAO,PROJETO,EM EXECUÇÃO,2025,2025-02-07,2026-12-31,INSTITUTO DE ESTUDOS SÓCIO-AMBIENTAIS
Goiás: Cidade Estelar,LUCIENE DA SILVA COELHO,PROJETO,EM EXECUÇÃO,2025,2025-02-07,2026-12-31,INSTITUTO DE ESTUDOS SÓCIO-AMBIENTAIS
Goiás: Cidade Estelar,MANOEL ALVES RODRIGUES JUNIOR,PROJETO,EM EXECUÇÃO,2025,2025-02-07,2026-12-31,INSTITUTO DE ESTUDOS SÓCIO-AMBIENTAIS
Goiás: Cidade Estelar,MICHELE FERREIRA MARTINS,PROJETO,EM EXECUÇÃO,2025,2025-02-07,2026-12-31,INSTITUTO DE ESTUDOS SÓCIO-AMBIENTAIS
Goiás: Cidade Estelar,NORTON GOMES DE ALMEIDA,PROJETO,EM EXECUÇÃO,2025,2025-02-07,2026-12-31,INSTITUTO DE ESTUDOS SÓCIO-AMBIENTAIS
Goiás: Cidade Estelar,PAULO HENRIQUE AZEVEDO SOBREIRA,PROJETO,EM EXECUÇÃO,2025,2025-02-07,2026-12-31,INSTITUTO DE ESTUDOS SÓCIO-AMBIENTAIS
Goiás: Cidade Estelar,PEDRO HENRIQUE GOTTARDI SILVA FIALHO,PROJETO,EM EXECUÇÃO,2025,2025-02-07,2026-12-31,INSTITUTO DE ESTUDOS SÓCIO-AMBIENTAIS
Goiás: Cidade Estelar,RAFAEL MILONI SANTUCCI,PROJETO,EM EXECUÇÃO,2025,2025-02-07,2026-12-31,INSTITUTO DE ESTUDOS SÓCIO-AMBIENTAIS
"Jornalismo de dados, checagem de fatos e combate à desinformação - Observatório Jornalístico Universitário (OJU)",LEONARDO LUIZ DE SOUZA REZIO,PROJETO,EM EXECUÇÃO,2025,2025-02-21,2026-07-31,FACULDADE DE INFORMAÇÃO E COMUNICAÇÃO
"Jornalismo de dados, checagem de fatos e combate à desinformação - Observatório Jornalístico Universitário (OJU)",LUCIANE FASSARELLA AGNEZ,PROJETO,EM EXECUÇÃO,2025,2025-02-21,2026-07-31,FACULDADE DE INFORMAÇÃO E COMUNICAÇÃO
"Jornalismo de dados, checagem de fatos e combate à desinformação - Observatório Jornalístico Universitário (OJU)",MARIZA FERNANDES DOS SANTOS,PROJETO,EM EXECUÇÃO,2025,2025-02-21,2026-07-31,FACULDADE DE INFORMAÇÃO E COMUNICAÇÃO
Ambulatório de Fisioterapia Esportiva (AmFE) da UFG,GABRIELA SOUZA DE VASCONCELOS,PROJETO,EM EXECUÇÃO,2025,2025-02-24,2030-12-31,INSTITUTO DE PATOLOGIA TROPICAL E SAÚDE PÚBLICA
"Sarau (R)Existimos, Tecendo prosas, versos, cantorias e autonomias como cuidado em saúde mental",FERNANDO LACERDA JUNIOR,PROJETO,EM EXECUÇÃO,2025,2025-03-10,2026-12-31,FACULDADE DE EDUCAÇÃO
"Sarau (R)Existimos, Tecendo prosas, versos, cantorias e autonomias como cuidado em saúde mental",GARDENIA DE SOUZA FURTADO LEMOS,PROJETO,EM EXECUÇÃO,2025,2025-03-10,2026-12-31,FACULDADE DE EDUCAÇÃO
"Sarau (R)Existimos, Tecendo prosas, versos, cantorias e autonomias como cuidado em saúde mental",LARISSA ARBUES CARNEIRO,PROJETO,EM EXECUÇÃO,2025,2025-03-10,2026-12-31,FACULDADE DE EDUCAÇÃO
"Sarau (R)Existimos, Tecendo prosas, versos, cantorias e autonomias como cuidado em saúde mental",MARCOS LINHARES GOES,PROJETO,EM EXECUÇÃO,2025,2025-03-10,2026-12-31,FACULDADE DE EDUCAÇÃO
Projeto Virada Ambiental,DENILSON TEIXEIRA,PROJETO,EM EXECUÇÃO,2025,2025-03-10,2030-03-09,ESCOLA DE ENGENHARIA CIVIL E AMBIENTAL
Projeto Virada Ambiental,EMILIANO LOBO DE GODOI,PROJETO,EM EXECUÇÃO,2025,2025-03-10,2030-03-09,ESCOLA DE ENGENHARIA CIVIL E AMBIENTAL
Projeto Virada Ambiental,ERIBERTO FRANCISCO BEVILAQUA MARIN,PROJETO,EM EXECUÇÃO,2025,2025-03-10,2030-03-09,ESCOLA DE ENGENHARIA CIVIL E AMBIENTAL
Projeto Virada Ambiental,FABIO VENTUROLI,PROJETO,EM EXECUÇÃO,2025,2025-03-10,2030-03-09,ESCOLA DE ENGENHARIA CIVIL E AMBIENTAL
Projeto Virada Ambiental,HELENO DIAS FERREIRA,PROJETO,EM EXECUÇÃO,2025,2025-03-10,2030-03-09,ESCOLA DE ENGENHARIA CIVIL E AMBIENTAL
Projeto Virada Ambiental,JULIANA BARBOSA E QUEIROZ,PROJETO,EM EXECUÇÃO,2025,2025-03-10,2030-03-09,ESCOLA DE ENGENHARIA CIVIL E AMBIENTAL
Projeto Virada Ambiental,MARCELO STEHLING DE CASTRO,PROJETO,EM EXECUÇÃO,2025,2025-03-10,2030-03-09,ESCOLA DE ENGENHARIA CIVIL E AMBIENTAL
Projeto Virada Ambiental,NAYARA PEREIRA REZENDE DE SOUSA,PROJETO,EM EXECUÇÃO,2025,2025-03-10,2030-03-09,ESCOLA DE ENGENHARIA CIVIL E AMBIENTAL
Projeto Virada Ambiental,NILSON CLEMENTINO FERREIRA,PROJETO,EM EXECUÇÃO,2025,2025-03-10,2030-03-09,ESCOLA DE ENGENHARIA CIVIL E AMBIENTAL
Treinamentos e competições em programação esportiva,BRUNO RANGEL BORGES MARCHETTI,PROJETO,EM EXECUÇÃO,2025,2025-03-20,2027-12-31,INSTITUTO DE INFORMÁTICA
Treinamentos e competições em programação esportiva,CARLOS EDUARDO DO EGITO ARAUJO,PROJETO,EM EXECUÇÃO,2025,2025-03-20,2027-12-31,INSTITUTO DE INFORMÁTICA
Treinamentos e competições em programação esportiva,DANILO SILVA RAMOS,PROJETO,EM EXECUÇÃO,2025,2025-03-20,2027-12-31,INSTITUTO DE INFORMÁTICA
Treinamentos e competições em programação esportiva,DELVO RESENDE,PROJETO,EM EXECUÇÃO,2025,2025-03-20,2027-12-31,INSTITUTO DE INFORMÁTICA
Treinamentos e competições em programação esportiva,FAUSTO DA SILVA MORAES,PROJETO,EM EXECUÇÃO,2025,2025-03-20,2027-12-31,INSTITUTO DE INFORMÁTICA
Treinamentos e competições em programação esportiva,GUSTAVO MACHADO LEAL,PROJETO,EM EXECUÇÃO,2025,2025-03-20,2027-12-31,INSTITUTO DE INFORMÁTICA
Treinamentos e competições em programação esportiva,HEBERT COELHO DA SILVA,PROJETO,EM EXECUÇÃO,2025,2025-03-20,2027-12-31,INSTITUTO DE INFORMÁTICA
Treinamentos e competições em programação esportiva,HUMBERTO JOSE LONGO,PROJETO,EM EXECUÇÃO,2025,2025-03-20,2027-12-31,INSTITUTO DE INFORMÁTICA
Treinamentos e competições em programação esportiva,JULLIANO ROSA NASCIMENTO,PROJETO,EM EXECUÇÃO,2025,2025-03-20,2027-12-31,INSTITUTO DE INFORMÁTICA
Treinamentos e competições em programação esportiva,LEIZER DE LIMA PINTO,PROJETO,EM EXECUÇÃO,2025,2025-03-20,2027-12-31,INSTITUTO DE INFORMÁTICA
Treinamentos e competições em programação esportiva,MAYCON BATISTA SPIRLANDELLI,PROJETO,EM EXECUÇÃO,2025,2025-03-20,2027-12-31,INSTITUTO DE INFORMÁTICA
Treinamentos e competições em programação esportiva,PATRICIA GALUCIO COQUEIRO,PROJETO,EM EXECUÇÃO,2025,2025-03-20,2027-12-31,INSTITUTO DE INFORMÁTICA
Treinamentos e competições em programação esportiva,WELLINGTON SANTOS MARTINS,PROJETO,EM EXECUÇÃO,2025,2025-03-20,2027-12-31,INSTITUTO DE INFORMÁTICA
LIGA ACADÊMICA DE CIRURGIA PLÁSTICA (LACIP),PAULO RENATO SIMMONS DE PAULA,PROJETO,EM EXECUÇÃO,2025,2025-03-25,2026-08-10,FACULDADE DE MEDICINA
Cine Cajazeira,CICERO JOSINALDO DA SILVA OLIVEIRA,PROJETO,EM EXECUÇÃO,2025,2025-03-27,2026-08-15,UNID. ACAD. ESP/CIENCIAS HUMANAS - GOI
Cine Cajazeira,HEVELY SAMILY AVELINO DE SANTANA,PROJETO,EM EXECUÇÃO,2025,2025-03-27,2026-08-15,UNID. ACAD. ESP/CIENCIAS HUMANAS - GOI
Cine Cajazeira,JULIA SEBBA RAMALHO MORAIS,PROJETO,EM EXECUÇÃO,2025,2025-03-27,2026-08-15,UNID. ACAD. ESP/CIENCIAS HUMANAS - GOI
Cerrado em cores,ANDRELISA SANTOS DE JESUS,PROJETO,EM EXECUÇÃO,2025,2025-03-28,2030-08-31,FACULDADE DE CIÊNCIAS E TECNOLOGIA
Cerrado em cores,GRADISCA DE OLIVEIRA WERNECK DE CAPISTRANO,PROJETO,EM EXECUÇÃO,2025,2025-03-28,2030-08-31,FACULDADE DE CIÊNCIAS E TECNOLOGIA
Cerrado em cores,RAPHAELA DE CASTRO GEORG,PROJETO,EM EXECUÇÃO,2025,2025-03-28,2030-08-31,FACULDADE DE CIÊNCIAS E TECNOLOGIA
Cerrado em cores,VANESSA GISELE PASQUALOTTO SEVERINO,PROJETO,EM EXECUÇÃO,2025,2025-03-28,2030-08-31,FACULDADE DE CIÊNCIAS E TECNOLOGIA
Olimpíada de Matemática do Estado de Goiás - Edições XXXIV e XXXV,OTAVIO MARCAL LEANDRO GOMIDE,PROJETO,EM EXECUÇÃO,2025,2025-04-01,2026-02-23,INSTITUTO DE MATEMÁTICA E ESTATÍSTICA
