coordenador_projeto_pesquisa,unidade_coordenador_projeto,status_projeto_pesquisa,codigo_projeto_pesquisa,data_inicio_projeto,data_fim_projeto,grande_area,area,subarea,titulo_projeto_pesquisa
ANA PAULA DE OLIVEIRA,INSTITUTO DE ESTUDOS SÓCIO-AMBIENTAIS,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI01024-2017,17/04/2017,31/03/2023,Outras,Ciências Ambientais,,ESTRATÉGIAS ADAPTATIVAS DE PLANTAS EM DIFERENTES FITOFISIONOMIAS DO CERRADO NO ESTADO DE GOIÁS
ANTONIO FERNANDES JUNIOR,UNID. ACAD. ESP/LETRAS E LINGUISTICA - CATALAO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI01091-2015,17/03/2021,01/09/2023,"Lingüística, Letras e Artes",Lingüística,Teoria e Análise Lingüística,DISPOSITIVOS DE PODER E PRÁTICAS DE SUBJETIVAÇÃO NA ATUALIDADE
HELIO GALDINO JUNIOR,FACULDADE DE ENFERMAGEM,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI01128-2016,15/08/2016,31/12/2023,Ciências da Saúde,Enfermagem,Enfermagem de Doenças Contagiosas,"Epidemiologia das infecções sexualmente transmissíveis em população empobrecida em Aparecida de Goiânia: cenário, diagnóstico e contribuições as políticas de saúde para enfrentamento das iniquidades em saúde "
HELIO YOCHIHIRO FUCHIGAMI,FACULDADE DE CIÊNCIAS E TECNOLOGIA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI01143-2015,01/12/2015,31/12/2023,Engenharias,Engenharia de Produção,Pesquisa Operacional,Desenvolvimento de técnicas de sequenciamento para otimização da produção
ANTONIO NILSON ZAMUNER FILHO,UAE - DE ENGENHARIA - CATALÃO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI01146-2017,03/07/2017,01/12/2023,Engenharias,Engenharia de Minas,,ELEMENTOS TERRAS RARAS: APLICAÇÃO EM NUTRIÇÃO DE PLANTAS
JOANA PAULA SANCHEZ,FACULDADE DE CIÊNCIAS E TECNOLOGIA,PRORROGAÇÃO PENDENTE COORD. PESQUISA,PI01159-2017,19/04/2017,14/04/2023,Ciências Exatas e da Terra,Geociências,Geologia,Inventário do Patrimônio Geológico da Microrregião do Parque Nacional da Chapada dos Veadeiros-GO
MARLIPE GARCIA FAGUNDES NETO,"ESCOLA DE ENGENHARIA ELÉTRICA, MECÂNICA E DE COMPUTAÇÃO",FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI01243-2017,07/04/2017,31/12/2023,Engenharias,Engenharia Mecânica,Mecânica dos Sólidos,Acústica de Salas: Influência e modelagem da posição de materiais de absorção sonora na característica acústica de salas de aula
CLAUDIA VALERIA DE LIMA,INSTITUTO DE ESTUDOS SÓCIO-AMBIENTAIS,FINALIZADO,PI01257-2015,01/04/2015,31/12/2023,Ciências Exatas e da Terra,Geociências,Geografia Física,"Geodiversidade, Geoconservação e Patrimônio Geológico no Estado de Goiás"
ANDRE CARLOS SILVA,UAE - DE ENGENHARIA - CATALÃO,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI01329-2013,01/03/2013,31/07/2023,Engenharias,Engenharia de Minas,Tratamento de Minérios,DESENVOLVIMENTO DE NOVOS REAGENTES PARA FLOTAÇÃO
MARIA CLORINDA SOARES FIORAVANTI,ESCOLA DE VETERINÁRIA E ZOOTECNIA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI01375-2016,01/01/2016,31/12/2023,Ciências Agrárias,Medicina Veterinária,Medicina Veterinária Preventiva,APLICAÇÃO DE SNP MULTIPLEX PARA CARACTERIZAÇÃO DE MARCADORES MOLECULARES DE RESISTÊNCIA A DOENÇAS EM RAÇAS BOVINAS BRASILEIRAS LOCALMENTE ADAPTADAS: CURRALEIRO PÉ-DURO E PANTANEIRO
GISELE AUGUSTO RODRIGUES DE OLIVEIRA,FACULDADE DE FARMÁCIA,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI01504-2014,17/03/2014,01/08/2023,Ciências da Saúde,Farmácia,Análise Toxicológica,AVALIAÇÃO ECOTOXICOLÓGICA E TOXICOGENÉTICA DE CONTAMINANTES EMERGENTES PRESENTES EM SISTEMAS HÍDRICOS
CARLA SILVA SIQUEIRA,UNID. ACAD. ESP/CIENCIAS DA SAUDE-JATAI,FINALIZADO E AGUARDANDO PUBLICAÇÃO,PI01527-2017,01/08/2017,31/12/2023,Ciências da Saúde,Odontologia,,"Análise morfológica e patologia molecular na prevenção, diagnóstico, terapêutica e prognóstico de lesões bucais "
KAMILA DA SILVA ANDRADE,INSTITUTO DE MATEMÁTICA E ESTATÍSTICA,FINALIZADO,PI01576-2016,01/07/2016,30/09/2023,Ciências Exatas e da Terra,Matemática,Geometria e Topologia,Bifurcações de Ciclos Típicos em Sistemas Não-Suaves Definidos em Duas Zonas
